method,d,mean_normalized_shd
GOLEM-NOTEARS-EV,5,0.5599999999999999
GOLEM-NOTEARS-EV,10,0.5299999999999999
GOLEM-NOTEARS-EV,50,0.039999999999999994
GOLEM-NOTEARS-EV,100,0.013000000000000001
GOLEM-NOTEARS-NV,5,0.4600000000000001
GOLEM-NOTEARS-NV,10,0.39
GOLEM-NOTEARS-NV,50,0.026000000000000002
GOLEM-NOTEARS-NV,100,0.004
NOTEARS,5,0.13999999999999999
NOTEARS,10,0.06999999999999999
NOTEARS,50,0.052000000000000005
NOTEARS,100,0.07000000000000002
DAGMA,5,0.08
DAGMA,10,0.05
DAGMA,50,0.034
DAGMA,100,0.011
