method,d,mean_normalized_shd
GOLEM-NOTEARS-EV,5,0.06000000000000001
GOLEM-NOTEARS-EV,10,0.0
GOLEM-NOTEARS-EV,50,0.276
GOLEM-NOTEARS-EV,100,0.2579999999999999
GOLEM-NOTEARS-NV,5,0.06000000000000001
GOLEM-NOTEARS-NV,10,0.09
GOLEM-NOTEARS-NV,50,0.11399999999999999
GOLEM-NOTEARS-NV,100,0.052000000000000005
NOTEARS,5,0.52
NOTEARS,10,0.23000000000000004
NOTEARS,50,0.362
NOTEARS,100,0.39299999999999996
DAGMA,5,0.32
DAGMA,10,0.24000000000000005
DAGMA,50,0.06000000000000001
DAGMA,100,0.05700000000000001
